,Hate_IDs,Counter_IDs,hate_users,creation_date
0,866850289894248448,867126408048463872,-,-
1,866850289894248448,867135492038328320,-,-
2,866850289894248448,867402186740957184,-,-
3,930152017816965120,930229938950610944,@Nicolelynnnx,2017-11-13 19:14:57
4,473173776067477504,473174079575699456,@Donatovalentine,2014-06-01 18:46:34
5,534930558301007872,534931157759311872,@tomfeeback,2014-11-19 04:45:58
6,518392937517174784,518393593577603072,@Ch1buzo,2014-10-04 13:31:22
7,433616377350717440,457530991369007104,@LordOfDaWingz,2014-02-12 14:59:35
8,506645383934926848,506646377624240128,@Kiaralizgron,2014-09-02 03:30:47
9,471017086337044480,471020608361598976,@ShailenyWoodley,2014-05-26 19:56:39
10,463126553568608256,463127051973562368,@CPrice23_,2014-05-05 01:22:29
11,599625110165790720,599628890793979904,@IsibayaOverHoes,2015-05-16 17:19:01
12,466075447760285696,466076133960605696,@ughitsraul,2014-05-13 04:40:20
13,421645078243729408,421666766440644608,@brandleymatthew,2014-01-10 14:09:55
14,979017665925779456,979171308079599616,-,-
15,488607654760042496,488612548539740160,-,-
16,488607654760042496,488615204360425472,-,-
17,579093735478202368,580565782792429568,-,-
18,579093735478202368,580565417938259968,-,-
19,912288412870303744,912322332043108352,@kaream74,2017-09-25 12:11:21
20,581647701919571968,581665867336978432,-,-
21,866850289894248448,867092655150215168,-,-
22,581647701919571968,581648319719481344,-,-
23,581647701919571968,581648116648058880,-,-
24,379550956045606912,379551065328197632,-,-
25,409561907771629568,409562257236828160,-,-
26,355537360030674944,355546296385417216,@8bitpimp,2013-07-12 04:01:26
27,363994709577842688,364005682602721280,@widya_puspit,2013-08-04 12:07:56
28,372167237169192960,372223897933869056,-,-
29,874856854953893888,874857983313883136,-,-
30,321215751505719296,321219195796856832,@harryfoster3,2013-04-08 10:59:37
31,382982776448102400,385364364129091584,@RawryDinosaury,2013-09-25 21:39:44
32,298911726953451520,298912129837322240,@LauWill95,2013-02-05 21:51:23
33,355770637043773440,355771418052526080,@kingcolecain,2013-07-12 19:28:24
34,309883582313267200,313173955789873152,-,-
35,486700475367317504,487378681124241408,@Bren50711574,2014-07-09 02:36:50
36,355156674903941120,355160734537232384,@plasticdabieber,2013-07-11 02:48:44
37,796355391068246016,799039583010885632,@bpsrania,2016-11-09 14:14:55
38,355156674903941120,355205578521448448,@plasticdabieber,2013-07-11 02:48:44
39,355156674903941120,355375088419348480,@plasticdabieber,2013-07-11 02:48:44
40,546780952480190464,546792802676654080,@HugeConspiracy,2014-12-21 21:35:12
41,323938653560766464,323939224271327232,@selfpaidmade,2013-04-15 23:19:28
